"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural Gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
PJM,"11/9/2025 12 a.m. EST",3681,17,367,941,175,27555,13260,30923
PJM,"11/9/2025 1 a.m. EST",4545,17,327,940,176,26116,11979,30920
PJM,"11/9/2025 2 a.m. EST",4934,17,330,995,176,26388,11255,30923
PJM,"11/9/2025 3 a.m. EST",5141,17,327,1002,175,25590,10988,30928
PJM,"11/9/2025 4 a.m. EST",5305,17,320,1003,174,25188,10849,30925
PJM,"11/9/2025 5 a.m. EST",5828,17,324,939,175,24837,10755,30929
PJM,"11/9/2025 6 a.m. EST",6045,17,331,1014,175,24780,10626,30948
PJM,"11/9/2025 7 a.m. EST",6272,17,476,1039,173,25872,10529,30961
PJM,"11/9/2025 8 a.m. EST",6419,232,510,1022,173,26040,11521,31050
PJM,"11/9/2025 9 a.m. EST",6568,1389,412,980,191,26005,11830,31062
PJM,"11/9/2025 10 a.m. EST",6812,2450,334,1009,170,26722,11765,31053
PJM,"11/9/2025 11 a.m. EST",7110,3169,316,1099,242,27180,12120,31048
PJM,"11/9/2025 12 p.m. EST",7413,3694,309,1103,330,26942,11665,31049
PJM,"11/9/2025 1 p.m. EST",7496,3879,314,1211,258,27013,11514,31034
PJM,"11/9/2025 2 p.m. EST",7779,3971,318,1224,235,27177,11588,31033
PJM,"11/9/2025 3 p.m. EST",7750,3664,350,1224,168,28202,12029,31030
PJM,"11/9/2025 4 p.m. EST",7727,2476,620,1209,170,29030,12744,31037
PJM,"11/9/2025 5 p.m. EST",7481,678,1624,1383,629,30035,13412,31038
PJM,"11/9/2025 6 p.m. EST",7258,34,2875,1925,723,32057,13949,31033
PJM,"11/9/2025 7 p.m. EST",7028,28,2888,2033,743,32585,14765,31043
PJM,"11/9/2025 8 p.m. EST",7220,23,2731,2078,564,32290,14680,31054
PJM,"11/9/2025 9 p.m. EST",7189,23,2287,2080,551,31981,14882,31063
PJM,"11/9/2025 10 p.m. EST",6790,23,1182,2013,513,31792,14954,31071
PJM,"11/9/2025 11 p.m. EST",6847,23,409,1997,203,30123,14974,31075
PJM,"11/10/2025 12 a.m. EST",6983,23,305,1465,172,29057,14757,31081
PJM,"11/10/2025 1 a.m. EST",7087,23,331,1344,247,28500,13883,31091
PJM,"11/10/2025 2 a.m. EST",7295,23,351,1374,172,28179,13879,31094
PJM,"11/10/2025 3 a.m. EST",7095,23,383,1375,172,27436,14027,31103
PJM,"11/10/2025 4 a.m. EST",6972,23,399,1369,171,27060,14465,31112
PJM,"11/10/2025 5 a.m. EST",6529,23,425,1370,181,27424,14921,31118
PJM,"11/10/2025 6 a.m. EST",6390,23,682,1460,646,29383,15505,31113
PJM,"11/10/2025 7 a.m. EST",6634,23,2099,1986,1243,32331,15766,31125
PJM,"11/10/2025 8 a.m. EST",6577,273,3446,2048,1312,35057,16387,31137
PJM,"11/10/2025 9 a.m. EST",6248,1805,2780,2178,1262,35847,17048,31140
PJM,"11/10/2025 10 a.m. EST",6115,3402,1022,2234,1235,36065,17503,31137
PJM,"11/10/2025 11 a.m. EST",6129,4414,383,2125,1116,35679,17839,31144
PJM,"11/10/2025 12 p.m. EST",5682,5129,297,2115,1202,36052,17764,31141
PJM,"11/10/2025 1 p.m. EST",5007,5862,307,2091,1193,35926,18176,31142
PJM,"11/10/2025 2 p.m. EST",4679,6144,284,2024,993,35189,18120,31076
PJM,"11/10/2025 3 p.m. EST",4970,6021,281,2047,984,35191,17621,30877
PJM,"11/10/2025 4 p.m. EST",5381,4984,518,2068,1108,36003,17545,30720
PJM,"11/10/2025 5 p.m. EST",6412,1951,2142,2176,1616,37875,17154,30700
PJM,"11/10/2025 6 p.m. EST",6370,94,4319,2354,1839,41552,17718,30705
PJM,"11/10/2025 7 p.m. EST",6128,23,4308,2440,2031,42975,18730,30742
PJM,"11/10/2025 8 p.m. EST",6165,22,3833,2369,2211,42862,19280,30842
PJM,"11/10/2025 9 p.m. EST",6106,17,2886,2314,2215,42274,19613,31036
PJM,"11/10/2025 10 p.m. EST",5931,17,2312,2235,2075,40447,19299,31067
PJM,"11/10/2025 11 p.m. EST",5509,17,1322,1969,1341,39564,18943,31088
PJM,"11/11/2025 12 a.m. EST",5256,17,412,1555,666,37794,19468,31111
PJM,"11/11/2025 1 a.m. EST",5007,17,402,1587,438,36431,19606,31123
PJM,"11/11/2025 2 a.m. EST",5225,17,447,1559,380,36095,18394,31141
PJM,"11/11/2025 3 a.m. EST",5374,17,661,1547,381,35914,17847,31156
PJM,"11/11/2025 4 a.m. EST",5486,17,889,1564,379,35384,17820,31167
PJM,"11/11/2025 5 a.m. EST",5644,17,1381,1539,402,35576,17830,31172
PJM,"11/11/2025 6 a.m. EST",5593,17,2403,1788,1977,36078,18136,31185
PJM,"11/11/2025 7 a.m. EST",5884,17,3300,2502,2897,38185,18473,31188
PJM,"11/11/2025 8 a.m. EST",6153,841,3819,2479,2834,40127,19621,31197
PJM,"11/11/2025 9 a.m. EST",6838,4718,2470,2512,2452,38418,19474,31195
PJM,"11/11/2025 10 a.m. EST",7157,8194,690,2431,1659,36925,19065,31196
PJM,"11/11/2025 11 a.m. EST",8132,8275,396,2572,1376,36915,18944,31199
PJM,"11/11/2025 12 p.m. EST",8632,8444,306,2623,1196,35656,18590,31193
PJM,"11/11/2025 1 p.m. EST",8951,8101,295,2571,1106,34805,17644,31183
PJM,"11/11/2025 2 p.m. EST",9030,7347,286,2568,1152,35014,17302,31173
PJM,"11/11/2025 3 p.m. EST",8932,6650,274,2329,1155,35129,17523,31171
PJM,"11/11/2025 4 p.m. EST",8962,4885,550,2357,1168,36082,17651,31165
PJM,"11/11/2025 5 p.m. EST",8564,1488,1481,2478,1645,39958,18532,31168
PJM,"11/11/2025 6 p.m. EST",8221,43,3378,2568,2409,42473,18804,31168
PJM,"11/11/2025 7 p.m. EST",8063,15,3594,2681,2527,43871,18858,31160
PJM,"11/11/2025 8 p.m. EST",8175,15,3717,2772,2342,43134,18143,31162
PJM,"11/11/2025 9 p.m. EST",8380,19,3147,2713,2048,42029,18042,31123
PJM,"11/11/2025 10 p.m. EST",8518,16,2338,2759,1609,40974,18127,31008
PJM,"11/11/2025 11 p.m. EST",8769,15,1196,2125,985,38230,17985,30880
PJM,"11/12/2025 12 a.m. EST",8857,15,554,1859,761,36738,17012,30775
PJM,"11/12/2025 1 a.m. EST",8866,15,716,1770,380,34525,16352,30774
PJM,"11/12/2025 2 a.m. EST",8620,15,893,1739,282,32770,15329,30798
